company,total_laid_off,funds_raised
Noice,0,5
"Nomad Health",357,218
Noogata,30,28
Noom,0,657
Nori,0,19
Northvolt,13200,13800
Nowadays,0,10
"NuScale Power",462,470
Ocado,3000,2000
Oda,450,691
OfferUp,0,381
Okra,0,12
Okta,1740,1200
Ola,540,5000
"Ola Electric",4500,1700
Olive,0,856
Olo,0,184
Omuni,180,10
ON,180,81
Onfido,0,182
Opendoor,900,1900
OpenSea,0,427
OpenSpace,0,200
OpenText,8400,1100
Oportun,555,766
"Orca Security",180,632
OrCam,450,86
Orchard,0,472
OSlash,0,7
"Osso VR",201,109
Otipy,900,44
Otovo,195,247
"Our Next Energy",504,390
Outbrain,600,394
Outreach,201,489
OutSystems,450,802
Own,0,507
Oyster,0,224
PacketFabric,0,110
Pagaya,300,2000
Palantir,360,3000
"Palmetto Clean Technology",0,628
Pandion,189,76
Paper,822,389
PathAI,261,255
PaulCamper,0,12
Pax8,0,400
Paxos,195,543
PayPal,7755,216
PayScale,42,33
Paystack,99,10
Pebble,0,1
Peloton,1233,1900
"Perfect Day",402,711
Perion,105,76
Personio,1140,724
"Phantom Auto",300,86
Phunware,0,87
"Physics Wallah",360,100
"Pico Interactive",0,62
"Ping Identity",0,128
Pipe,600,453
Pipedrive,0,90
Pitch,240,138
Pivo,0,3
Placer.ai,450,267
Planet,891,574
PlanetScale,0,105
PlaxidityX,195,25
Pleo,300,428
Plume,72,38
Pluralsight,0,192
"Pocket FM",825,212
Podium,0,419
Point,183,149
Polygon,180,451
Porter,1050,357
PowerSchool,0,31
Prefect,60,47
Presto,0,167
Priceline,309,77
"Pristyn Care",360,177
Procore,0,654
Project44,348,817
Proofpoint,840,885
PropertyGuru,237,676
PubMatic,36,63
"Pure Storage",825,529
Qoala,240,89
Qomplx,180,107
Qualtrics,2340,400
R3,0,112
"Rad Power Bikes",120,329
"Ranger Insurance",0,5
Rapid7,1410,89
Rapyd,90,770
"Ready Robotics",0,41
RealPage,780,105
RealSelf,0,42
"Rec Room",423,294
Recast,0,14
Recur,0,55
Redbox,3000,51
"Redesign Health",462,315
Redfin,1734,320
Refinery29,0,134
"Regrow Ag",0,64
"Rent the Runway",111,526
Replit,90,222
ReshaMandi,0,54
Restaurant365,300,127
Retrain.ai,60,34
Revel,3000,214
Reverb,120,47
Rezi,0,230
"Riot Games",1590,21
Ripl,0,9
RiseUp,150,30
Riskified,120,229
Rivian,3690,10700
"Robin AI",0,68
Robinhood,0,5600
Roblox,90,857
"Rocket Companies",0,5200
Roku,1080,208
"Running Tide",0,54
Sabi,150,66
SadaPay,0,20
"Sage Therapeutics copy",870,438
Salesforce,19305,65
Salsify,330,453
Salto,90,69
SambaNova,231,1100
Sampler,0,10
"Sana Benefits",219,106
Sandvine,0,63
SAP,24000,1300
Sapiens,2100,88
Sarcos,675,316
Satellogic,312,424
"Scale AI",600,602
Scaler,450,55
SchoolMint,87,8
"SCiFi Foods",0,39
Scope3,0,45
SeatGeek,450,400
SecureWorks,900,83
Seedr,45,28
Sendoso,0,152
Sendy,0,26
SenseTime,0,2600
"Sensor Tower",0,46
ShareChat,771,1700
Shein,51,4100
Shift,0,504
"SHINE Technologies",177,672
Shipt,0,65
ShopBack,585,355
Shopify,0,122
Showpad,150,159
Shutterfly,738,50
"Sierra Space",345,1700
SiFive,390,365
"Sight Diagnostics",120,124
Sightful,60,61
Silo,0,272
Silofit,0,19
Simpl,630,72
Simplilearn,600,76
"Singular Genomics",0,176
"Singularity 6",255,49
SiriusXM,480,525
Sisense,480,274
Skai,240,60
"Skill Lync",600,17
"Skip the Dishes",2400,8
"Skybox Security",900,335
SkyKick,420,198
Slync,0,76
"Small Robot Company",0,10
Smartsheet,360,152
Smashing,21,3
SmileDirectClub,0,694
Snap,2070,4900
SoFi,0,3000
Sojern,0,172
SolarEdge,6600,155
Solarisbank,60,385
Sonder,318,839
SonderMind,147,183
"Sono Motors",0,127
Sonos,900,455
Sophos,0,125
Sorare,66,739
Sorbet,0,58
Spectrm,0,11
Spinny,900,513
Splunk,1500,2400
Sportradar,0,84
Spotify,4620,2100
Spotter,0,238
Sprinklr,1848,429
"Sprout Social",0,111
Sproutt,0,38
"Square Roots",0,91
SRTX,420,151
"Stability AI",60,174
"Stack Overflow",0,153
Stackpath,0,396
Stash,504,480
"Stellar Pizza",0,25
StellarAlgo,63,16
Stem,0,583
"Stitch Fix",2874,79
Storytel,480,312
StreamElements,180,111
Stripe,900,8700
StyleSeat,0,40
Submittable,120,115
Sunfolding,0,32
Superpedestrian,0,262
Sure,210,123
Swiggy,1200,3600
"Sword Health",39,450
Symend,0,148
Synapse,258,50
Synctera,51,79
Tabnine,45,57
Tails.com,165,5
Take-Two,1737,4100
Talent.com,0,150
