company,industry,country,total_laid_off,funds_raised
Verse,Finance,Spain,,38
"Volta Trucks",Transportation,Sweden,,391
Wisense,Transportation,Israel,,37
Workfellow,HR,Finland,,3
Yummly,Food,"United States",,24
"Zapata Computing",Other,"United States",,82
Zeen,Consumer,"United States",,9
Koo,Consumer,India,,51
"Zeus Living","Real Estate","United States",,151
"Kleos Space",Aerospace,Luxembourg,,17
"Advisor Credit Exchange",Finance,"United States",,31
Akudo,Finance,India,,4
Alza,Finance,"United States",,7
Amicole,Retail,"United States",,5
Anar,Marketing,India,,6
"ANS Commerce",Retail,India,,2
AppHarvest,Food,"United States",,692
Arrival,Transportation,"United Kingdom",,629
"Astrate Medical",Healthcare,"United States",,13
"Kenko Health",Healthcare,India,,14
Kaspien,Retail,"United States",,52
Karhoo,Transportation,"United Kingdom",,39
Blueboard,HR,"United States",,16
Bluelearn,Education,India,,4
"Bowery Farming",Food,"United States",,626
"Brave Care",Healthcare,"United States",,43
Brilliant,Hardware,"United States",,64
Builder.ai,AI,"United Kingdom",,445
"Bundle Africa",Crypto,Nigeria,,1
Buzzer,Consumer,"United States",,24
"Cake Bikes",Transportation,Sweden,,74
Kaiyo,Retail,"United States",,43
Clockwork,Crypto,"United States",,4
CodeSee,Data,"United States",,10
"Coho AI",Sales,Israel,,8
ComplYant,Finance,"United States",,6
ConnectedH,Healthcare,India,,2
Journera,Travel,"United States",,31
Joonko,HR,"United States",,38
Cushion,Finance,"United States",,20
D2iQ,Infrastructure,"United States",,247
Dash,Finance,"United States",,86
Datree,Other,"United States",,11
DayTwo,Healthcare,"United States",,90
Jane,Retail,"United States",,40
IronNet,Security,"United States",,428
InVision,Product,"United States",,356
DwellWell,"Real Estate","United States",,6
EasyKnock,"Real Estate","United States",,440
"Inbound Health",Healthcare,"United States",,50
"Electriq Global",Energy,Israel,,8
Epicery,Food,France,,7
Everybuddy,Consumer,Israel,,15
Exosonic,Aerospace,"United States",,4
EyeEm,Other,Germany,,24
Fable,Product,"United States",,19
Fisker,Transportation,"United States",,1700
Flip,Consumer,"United States",,294
"Hyperloop One",Transportation,"United States",,368
"Hooray Foods",Food,"United States",,7
FrontRow,Education,India,,17
Gated,Other,"United States",,3
GenWise,Other,India,,3
Hike,Consumer,India,,261
GoWild,Retail,"United States",,8
Grabango,Food,"United States",,94
Greenikk,Food,India,,1
Here,"Real Estate","United States",,5
HerMD,Healthcare,"United States",,28
Hike,Consumer,India,,261
"Hooray Foods",Food,"United States",,7
HerMD,Healthcare,"United States",,28
"Hyperloop One",Transportation,"United States",,368
"Inbound Health",Healthcare,"United States",,50
InVision,Product,"United States",,356
IronNet,Security,"United States",,428
Jane,Retail,"United States",,40
Joonko,HR,"United States",,38
Journera,Travel,"United States",,31
Kaiyo,Retail,"United States",,43
Here,"Real Estate","United States",,5
Alza,Finance,"United States",,7
"Kenko Health",Healthcare,India,,14
